R,G,B,
12,13,17,
79,128,160,
16,49,58,
35,80,101,
39,104,132,
38,95,125,
6,150,223,
11,142,224,
9,160,229,
37,37,37,
181,195,206,
49,63,74,
181,193,219,
17,17,17,
167,183,209,
1,1,1,
130,156,179,
112,142,170,
0,0,0,
3,30,85,
153,153,153,
1,13,39,
0,0,0,
7,27,52,
33,70,89,
54,91,110,
10,47,66,
34,71,90,
55,92,111,
11,48,67,
6,37,91,
5,28,70,
9,47,112,
1,7,57,
3,6,61,
1,21,80,
3,11,30,
3,13,40,
23,62,167,
10,106,183,
8,73,157,
11,94,174,
0,0,48,
1,0,128,
2,0,145,
20,5,24,
22,7,30,
27,19,42,
16,20,32,
15,20,42,
16,23,199,
37,131,183,
0,98,163,
4,108,169,
38,132,184,
1,99,164,
5,109,170,
94,126,167,
33,73,99,
126,147,190,
31,72,128,
18,57,112,
14,45,91,
0,0,0,
0,0,50,
2,1,157,
0,0,0,
1,3,28,
1,9,55,
32,41,70,
20,25,45,
26,32,56,
1,12,30,
2,18,41,
2,32,60,
167,175,224,
134,144,205,
17,30,47,
55,130,162,
133,199,221,
106,181,212,
9,46,55,
18,55,64,
11,38,47,
21,24,29,
25,34,41,
16,17,19,
11,11,11,
16,24,27,
17,25,28,
1,1,1,
70,97,118,
53,80,101,
51,176,234,
35,33,55,
44,33,37,
31,185,223,
0,19,59,
1,110,149,
126,180,216,
154,207,249,
101,154,188,
0,102,117,
78,130,143,
54,120,134,
57,49,134,
57,93,167,
54,81,158,
64,137,205,
38,81,124,
0,59,103,
10,52,235,
0,29,211,
6,68,247,
72,130,255,
89,140,255,
107,155,255,
6,15,24,
16,35,49,
46,102,139,
43,73,255,
33,63,255,
22,53,255,
93,151,188,
104,176,214,
53,81,103,
135,159,185,
121,150,182,
104,134,170,
0,211,241,
0,194,232,
84,222,250,
1,1,1,
32,79,151,
39,87,172,
1,71,219,
0,35,191,
1,8,96,
94,135,227,
120,156,244,
0,0,0,
70,92,141,
94,117,161,
95,118,162,
2,58,169,
1,17,50,
0,23,67,
89,119,147,
150,179,209,
96,129,160,
59,108,227,
34,58,96,
33,48,81,
4,9,13,
143,219,253,
150,230,253,
173,202,232,
199,218,250,
200,219,251,
4,21,37,
15,41,64,
11,30,47,
37,72,94,
47,88,110,
60,106,130,
0,0,12,
0,22,56,
0,11,37,
110,186,238,
122,198,250,
145,206,250,
0,51,98,
0,65,117,
0,122,173,
143,169,202,
157,191,236,
152,182,220,
58,123,217,
73,139,233,
104,160,247,
176,197,226,
163,186,218,
150,176,213,
8,28,140,
21,39,149,
0,19,124,
22,66,111,
17,51,88,
17,35,59,
40,54,65,
64,83,97,
96,137,169,
97,194,227,
72,176,213,
56,148,185,
155,180,210,
17,68,113,
21,82,129,
2,85,163,
14,98,171,
26,110,180,
32,47,104,
31,55,115,
31,65,126,
80,185,250,
66,173,243,
96,196,255,
0,36,110,
0,45,130,
0,56,143,
135,171,255,
171,212,255,
171,201,255,
0,32,47,
0,46,59,
1,0,6,
7,86,142,
41,57,145,
19,76,143,
0,29,147,
0,51,196,
0,22,124,
15,88,190,
20,106,205,
29,122,217,
57,115,197,
31,53,102,
30,36,70,
79,98,130,
175,186,206,
176,187,207,
167,190,208,
142,168,191,
143,169,192,
162,181,196,
180,196,209,
88,113,135,
64,121,138,
41,95,123,
20,71,100,
18,68,105,
16,55,86,
3,41,80,
38,131,226,
3,13,85,
3,23,94,
170,196,213,
5,13,36,
6,14,37,
27,58,123,
35,73,154,
31,64,135,
15,13,37,
16,16,44,
18,41,82,
0,44,57,
0,64,76,
0,76,92,
26,113,190,
92,205,247,
57,161,224,
1,11,13,
20,126,178,
64,184,218,
19,19,19,
28,28,28,
74,89,110,
8,25,35,
10,29,44,
75,120,141,
6,29,193,
199,200,204,
186,193,201,
140,180,241,
6,48,169,
2,55,193,
150,181,212,
68,130,187,
69,131,188,
126,202,238,
91,181,231,
98,165,184,
21,21,21,
23,34,54,
15,17,29,
21,50,90,
24,55,101,
89,141,216,
143,211,224,
150,219,226,
151,220,227,
0,2,9,
0,145,224,
160,219,251,
25,26,31,
127,166,173,
148,178,178,
197,219,242,
89,120,148,
86,135,175,
